codigo_ocorrencia,ocorrencia_pais,ocorrencia_cidade,ocorrencia_uf,ocorrencia_classificacao,ocorrencia_longitude,ocorrencia_latitude,ocorrencia_tipo_categoria
86952,BRASIL,SÃO LUÍS,MA,INCIDENTE,-44.23611111,-25.86944444,COLISÃO COM AVE
86951,BRASIL,CHAPECÓ,SC,INCIDENTE GRAVE,-52.65888889,-27.13388889,CORTANTE DE VENTO / TEMPESTADE
86950,BRASIL,GUARULHOS,SP,INCIDENTE,-46.47305556,-23.43555556,COLISÃO COM AVE
86949,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-43.25055556,-22.81000000,EXCURSÃO DE PISTA
86948,BRASIL,MARICÁ,RJ,INCIDENTE,-42.82888889,-22.91805556,PERDA DE CONTROLE NO SOLO
86946,BRASIL,VILA VELHA,ES,INCIDENTE,-40.33250000,-20.42305556,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
86945,BRASIL,BRASÍLIA,DF,INCIDENTE,-47.91861111,-15.87111111,FALHA OU MAU FUNCIONAMENTO DO MOTOR
86941,BRASIL,GOIÂNIA,GO,INCIDENTE,-49.22111111,-16.63250000,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86940,BRASIL,SINOP,MT,INCIDENTE,-55.51472222,-11.87555556,EXCURSÃO DE PISTA
86939,BRASIL,GUARAPARI,ES,INCIDENTE,,,COLISÃO COM AVE
86938,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-43.25055556,-22.81000000,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86937,BRASIL,CAMPINAS,SP,INCIDENTE,-47.13444444,-23.00694444,FALHA OU MAU FUNCIONAMENTO DO MOTOR
86936,BRASIL,CURITIBA,PR,INCIDENTE,-49.17611111,-25.53166667,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86935,BRASIL,BRASÍLIA,DF,INCIDENTE,-47.91861111,-15.87111111,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86934,BRASIL,CURITIBA,PR,INCIDENTE,-49.17611111,-25.53166667,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86933,BRASIL,BRASÍLIA,DF,INCIDENTE,-43.97194444,-19.62444444,OUTROS
86931,BRASIL,CUIABÁ,MT,INCIDENTE,-56.11750000,-15.65000000,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86929,BRASIL,GUARULHOS,SP,INCIDENTE,-46.47305556,-23.43555556,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86928,BRASIL,CAMPINAS,SP,INCIDENTE,-47.13444444,-23.00694444,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86925,BRASIL,CASCAVEL,PR,INCIDENTE,,,FALHA OU MAU FUNCIONAMENTO DO MOTOR
86924,BRASIL,GUARULHOS,SP,INCIDENTE,-46.65638889,-23.62611111,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86923,BRASIL,PIRENÓPOLIS,GO,INCIDENTE GRAVE,-48.94888889,-15.83694444,FALHA OU MAU FUNCIONAMENTO DO MOTOR
86922,BRASIL,ÁGUAS DE CHAPECÓ,SC,INCIDENTE,-52.65888889,-27.13388889,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86921,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-43.25055556,-22.81000000,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86920,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-43.25055556,-22.81000000,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86918,BRASIL,TEFÉ,AM,INCIDENTE,-64.72527778,-33.80277778,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86917,BRASIL,RONDONÓPOLIS,MT,ACIDENTE,-54.77027778,-16.48388889,CORTANTE DE VENTO / TEMPESTADE
86916,BRASIL,GOIÂNIA,GO,INCIDENTE,,,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86914,BRASIL,GUARULHOS,SP,INCIDENTE,-46.47305556,-23.43555556,PERDA DE CONTROLE EM VOO
86913,BRASIL,FOZ DO IGUAÇU,PR,INCIDENTE,-54.48500000,-25.60027778,COLISÃO COM AVE
86912,BRASIL,SANTA MARIA DA BOA VISTA,PE,ACIDENTE,-39.69500000,,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86911,BRASIL,CANÁPOLIS,MG,ACIDENTE,-49.00666667,-18.81083333,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86910,BRASIL,BOA VISTA,RR,INCIDENTE,-60.84916667,,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86909,BRASIL,TEFÉ,AM,INCIDENTE,-64.72527778,-33.80277778,VOO CONTROLADO CONTRA O TERRENO
86908,BRASIL,BRASÍLIA,DF,INCIDENTE,-47.91861111,-15.87111111,
