codigo_ocorrencia,ocorrencia_pais,ocorrencia_cidade,ocorrencia_uf,ocorrencia_classificacao,ocorrencia_longitude,ocorrencia_latitude,ocorrencia_tipo_categoria
83561,BRASIL,SANTA CARMEM,MT,ACIDENTE,-5495083333333,-1193444444444,COLISÃO COM AVE
83559,BRASIL,PALMAS,TO,INCIDENTE GRAVE,-4835777777777,-10.29,COLISÃO COM AVE
83558,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-4325055555555,-22.81,COLISÃO COM AVE
83557,BRASIL,PETROLINA,PE,INCIDENTE,-4056361111111,-93675,FALHA OU MAU FUNCIONAMENTO DO MOTOR
83556,BRASIL,PETROLINA,PE,INCIDENTE,-4056361111111,-93675,COLISÃO COM AVE
83555,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-4325055555555,-22.81,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83554,BRASIL,SALVADOR,BA,INCIDENTE,-383225,-1290861111111,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83553,BRASIL,SANTARÉM,PA,INCIDENTE,-5478583333333,-2424722222222,COLISÃO COM AVE
83552,BRASIL,RECIFE,PE,INCIDENTE,-3492277777777,-8126388888888,COLISÃO COM AVE
83550,BRASIL,JAGUARUNA,SC,INCIDENTE,-4905944444444,-2867527777777,COLISÃO COM AVE
83549,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-4325055555555,-22.81,COLISÃO COM AVE
83548,BRASIL,SÃO PAULO,SP,INCIDENTE,-4665638888888,-2362611111111,COLISÃO COM AVE
83547,BRASIL,GOIANÁ,MG,INCIDENTE,-4317305555555,-2151305555555,COLISÃO COM AVE
83546,BRASIL,SANTARÉM,PA,INCIDENTE,-5478583333333,-2424722222222,COLISÃO COM AVE
83545,BRASIL,MACEIÓ,AL,INCIDENTE,-3579166666666,-9510833333333,COLISÃO COM AVE
83544,BRASIL,JUAZEIRO DO NORTE,CE,INCIDENTE,-3926944444444,-7219166666666,COLISÃO COM AVE
83543,BRASIL,BOA VISTA,RR,INCIDENTE,-6069222222222,28413888888889,COLISÃO COM AVE
83542,BRASIL,SANTARÉM,PA,INCIDENTE,-5478583333333,-2424722222222,COLISÃO COM AVE
83541,BRASIL,SALVADOR,BA,INCIDENTE,-383225,-1290861111111,COLISÃO COM AVE
83540,BRASIL,TERESINA,PI,INCIDENTE,-4282444444444,-5060555555555,COLISÃO COM AVE
83539,BRASIL,GUARULHOS,SP,INCIDENTE,-4647305555555,-2343555555555,COLISÃO COM AVE
83538,BRASIL,GOIÂNIA,GO,INCIDENTE,-4922111111111,-166325,COLISÃO COM AVE
83535,BRASIL,CAMPINAS,SP,INCIDENTE,-4713444444444,-2300694444444,COLISÃO COM AVE
83534,BRASIL,PORTO ALEGRE,RS,INCIDENTE,-5117111111111,-2999472222222,COLISÃO COM AVE
83533,BRASIL,GOIÂNIA,GO,INCIDENTE,-4922111111111,-166325,COLISÃO COM AVE
83532,BRASIL,PETROLINA,PE,INCIDENTE,-4056361111111,-93675,COLISÃO COM AVE
83531,BRASIL,PORTO ALEGRE,RS,INCIDENTE,-5117111111111,-2999472222222,COLISÃO COM AVE
83530,BRASIL,SÃO GONÇALO DO AMARANTE,RN,INCIDENTE,-3536638888888,-5768888888888,COLISÃO COM AVE
83529,BRASIL,PORTO ALEGRE,RS,INCIDENTE,-5117111111111,-2999472222222,COLISÃO COM AVE
83528,BRASIL,PORTO ALEGRE,RS,INCIDENTE,-5117111111111,-2999472222222,COLISÃO COM AVE
83527,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-4325055555555,-22.81,COLISÃO COM FAUNA
83525,BRASIL,GOIÂNIA,GO,INCIDENTE,-4934944444444,-1662555555555,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83524,BRASIL,BRASÍLIA,DF,INCIDENTE,-4791861111111,-1587111111111,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83523,BRASIL,GUARULHOS,SP,INCIDENTE,-4647305555555,-2343555555555,INDETERMINADO
83522,BRASIL,FORMIGUEIRO,RS,ACIDENTE,-5351722222222,-3003444444444,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83521,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-4325055555555,-22.81,EXCURSÃO DE PISTA
83520,BRASIL,BARRA DO RIBEIRO,RS,ACIDENTE,-5133305555555,-3026638888888,PERDA DE CONTROLE NO SOLO
83519,BRASIL,GUARULHOS,SP,INCIDENTE,-4647305555555,-2343555555555,COLISÃO COM AVE
83518,BRASIL,SÃO LOURENÇO DO SUL,RS,ACIDENTE,-5193666666666,-3131027777777,COLISÃO COM AVE
83517,BRASIL,ILHÉUS,BA,INCIDENTE,-3903333333333,-14815,COLISÃO COM AVE
83515,BRASIL,PETROLINA,PE,INCIDENTE,-4056361111111,-93675,PERDA DE CONTROLE EM VOO
83514,BRASIL,CURITIBA,PR,INCIDENTE,-4923361111111,-2540333333333,FALHA OU MAU FUNCIONAMENTO DO MOTOR
83513,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-4325055555555,-22.81,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83512,BRASIL,NAVEGANTES,SC,INCIDENTE,-4865083333333,-2687861111111,FALHA OU MAU FUNCIONAMENTO DO MOTOR
83511,BRASIL,BRASÍLIA,DF,INCIDENTE,-4791861111111,-1587111111111,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83510,BRASIL,MACAPÁ,AP,INCIDENTE,-5107222222222,505555555555,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
83509,BRASIL,CAMPO GRANDE,MS,INCIDENTE,-5467027777777,-2046944444444,EXCURSÃO DE PISTA
83508,BRASIL,VITÓRIA,ES,INCIDENTE,-4028638888888,-2025805555555,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
83507,BRASIL,GOIÂNIA,GO,INCIDENTE,-4922111111111,-166325,COLISÃO COM AVE
83506,BRASIL,CAMPINAS,SP,INCIDENTE,-4713444444444,-2300694444444,COLISÃO COM AVE
